Attack Rate (per 1000),CFR (%),COD Gov Arabic,COD Gov English,COD Gov Pcode,Cases,Date,Deaths,Governorate
46.62,0.19,,,,150965,2018-01-14,280,Al Hudaydah
46.42100000000001,0.18,,,,150319,2018-01-07,278,Al Hudaydah
46.026,0.19,,,,149041,2017-12-31,277,Al Hudaydah
44.951,0.19,,,,145559,2017-12-17,273,Al Hudaydah
42.97,0.19,,,,139145,2017-11-26,271,Al Hudaydah
42.288000000000004,0.2,,,,136937,2017-11-19,270,Al Hudaydah
40.71,0.2,,,,131827,2017-11-08,268,Al Hudaydah
40.56,0.2,,,,131342,2017-11-07,268,Al Hudaydah
40.437,0.2,,,,130943,2017-11-06,268,Al Hudaydah
40.266,0.21,,,,130390,2017-11-05,268,Al Hudaydah
40.114000000000004,0.21,,,,129896,2017-11-04,268,Al Hudaydah
40.003,0.21,,,,129538,2017-11-03,268,Al Hudaydah
39.332,0.21,,,,127366,2017-10-30,268,Al Hudaydah
39.167,0.21,,,,126830,2017-10-29,268,Al Hudaydah
39.009,0.21,,,,126318,2017-10-28,268,Al Hudaydah
38.489000000000004,0.21,,,,124636,2017-10-25,267,Al Hudaydah
37.944,0.22,,,,122869,2017-10-22,266,Al Hudaydah
37.727,0.22,,,,122167,2017-10-21,265,Al Hudaydah
36.96,0.22,,,,119684,2017-10-17,263,Al Hudaydah
36.686,0.22,,,,118798,2017-10-16,262,Al Hudaydah
36.061,0.22,,,,116772,2017-10-14,262,Al Hudaydah
35.091,0.23,,,,113632,2017-10-11,262,Al Hudaydah
34.784,0.23,,,,112638,2017-10-10,261,Al Hudaydah
34.346,0.23,,,,111219,2017-10-09,261,Al Hudaydah
33.635,0.24,,,,108917,2017-10-08,258,Al Hudaydah
33.049,0.24,,,,107019,2017-10-05,255,Al Hudaydah
32.786,0.24,,,,106169,2017-10-04,254,Al Hudaydah
32.454,0.24,,,,105092,2017-10-03,254,Al Hudaydah
31.894000000000002,0.25,,,,103280,2017-10-02,254,Al Hudaydah
31.894000000000002,0.25,,,,103280,2017-10-01,254,Al Hudaydah
31.59,0.25,,,,102294,2017-09-30,253,Al Hudaydah
31.103,0.25,,,,100717,2017-09-28,249,Al Hudaydah
30.803,0.25,,,,99747,2017-09-27,248,Al Hudaydah
30.381,0.25,,,,98381,2017-09-26,248,Al Hudaydah
30.015,0.25,,,,97193,2017-09-25,247,Al Hudaydah
29.684,0.26,,,,96123,2017-09-24,247,Al Hudaydah
29.295,0.26,,,,94864,2017-09-23,245,Al Hudaydah
28.93,0.26,,,,93681,2017-09-22,244,Al Hudaydah
28.656999999999996,0.26,,,,92797,2017-09-21,244,Al Hudaydah
28.344,0.27,,,,91783,2017-09-20,244,Al Hudaydah
28.026999999999997,0.27,,,,90757,2017-09-19,244,Al Hudaydah
27.72,0.27,,,,89763,2017-09-18,244,Al Hudaydah
