Date,Governorate,Cases,Deaths,CFR (%),Attack Rate (per 1000),COD Gov English,COD Gov Arabic,COD Gov Pcode
2018-01-14,Amran,102231,175,0.17,88.088,Amran,عمران,29
2018-01-14,Al Mahwit,61097,149,0.24,83.671,Al Mahwit,المحويت,27
2018-01-14,Al Dhale'e,47132,81,0.17,64.432,Al Dhale'e,الضالع,30
2018-01-14,Hajjah,118468,420,0.35,50.850,Hajjah,حجة,17
2018-01-14,Sana'a,74103,123,0.17,50.398,Sana'a,صنعاء,23
2018-01-14,Dhamar,99766,160,0.16,49.579,Dhamar,ذمار,20
2018-01-14,Abyan,28241,35,0.12,49.473,Abyan,أبين,12
2018-01-14,Al Hudaydah,150965,280,0.19,46.620,Al Hudaydah,الحديدة,18
2018-01-14,Al Bayda,28730,34,0.12,37.833,Al Bayda,البيضاء,14
2018-01-14,Amanat Al Asimah,99452,70,0.07,35.169,Amanat Al Asimah,أمانة العاصمة,13
2018-01-14,Al Jawf,15827,22,0.14,27.355,Al Jawf,الجوف,16
2018-01-14,Raymah,16403,120,0.73,27.033,Raymah,ريمة,31
2018-01-14,Lahj,24341,22,0.09,24.127,Lahj,لحج,25
2018-01-14,Aden,20868,62,0.30,22.609,Aden,عدن,24
2018-01-14,Ibb,64536,286,0.44,21.824,Ibb,إب,11
2018-01-14,Taizz,62371,187,0.30,20.802,Taizz,تعز,15
2018-01-14,Marib,7285,7,0.10,20.318,Marib,مأرب,26
2018-01-14,Sa'ada,10703,5,0.05,11.825,Sa'ada,صعدة,22
2018-01-14,Al Maharah,1168,1,0.09,7.866,Al Maharah,المهرة,28
2018-01-14,Shabwah,1399,3,0.21,2.315,Shabwah,شبوة,21
2018-01-14,Moklla,568,2,0.35,1.417,#N/A,#N/A,#N/A
2018-01-14,Say'on,22,0,0.00,0.100,#N/A,#N/A,#N/A
2018-01-07,Amran,101793,174,0.17,87.710,Amran,عمران,29
2018-01-07,Al Mahwit,60805,149,0.25,83.271,Al Mahwit,المحويت,27
2018-01-07,Al Dhale'e,47126,81,0.17,64.424,Al Dhale'e,الضالع,30
2018-01-07,Hajjah,117646,420,0.36,50.497,Hajjah,حجة,17
2018-01-07,Sana'a,73266,123,0.17,49.829,Sana'a,صنعاء,23
2018-01-07,Abyan,28241,35,0.12,49.473,Abyan,أبين,12
2018-01-07,Dhamar,98861,160,0.16,49.129,Dhamar,ذمار,20
2018-01-07,Al Hudaydah,150319,278,0.18,46.421,Al Hudaydah,الحديدة,18
2018-01-07,Al Bayda,28452,34,0.12,37.467,Al Bayda,البيضاء,14
2018-01-07,Amanat Al Asimah,98975,70,0.07,35.000,Amanat Al Asimah,أمانة العاصمة,13
2018-01-07,Al Jawf,15821,22,0.14,27.344,Al Jawf,الجوف,16
2018-01-07,Raymah,15924,120,0.75,26.244,Raymah,ريمة,31
2018-01-07,Lahj,24334,22,0.09,24.120,Lahj,لحج,25
2018-01-07,Aden,20846,62,0.30,22.585,Aden,عدن,24
2018-01-07,Ibb,64128,286,0.45,21.686,Ibb,إب,11
2018-01-07,Taizz,62036,187,0.30,20.690,Taizz,تعز,15
2018-01-07,Marib,7285,7,0.10,20.318,Marib,مأرب,26
2018-01-07,Sa'ada,10702,5,0.05,11.824,Sa'ada,صعدة,22
2018-01-07,Al Maharah,1168,1,0.09,7.866,Al Maharah,المهرة,28
2018-01-07,Shabwah,1399,3,0.21,2.315,Shabwah,شبوة,21
2018-01-07,Moklla,568,2,0.35,1.417,#N/A,#N/A,#N/A
2018-01-07,Say'on,22,0,0.00,0.100,#N/A,#N/A,#N/A
2017-12-31,Amran,100981,174,0.17,87.011,Amran,عمران,29
2017-12-31,Al Mahwit,60212,149,0.25,82.459,Al Mahwit,المحويت,27
2017-12-31,Al Dhale'e,47115,81,0.17,64.409,Al Dhale'e,الضالع,30
2017-12-31,Hajjah,116247,419,0.36,49.897,Hajjah,حجة,17
2017-12-31,Abyan,28241,35,0.12,49.473,Abyan,أبين,12
2017-12-31,Sana'a,72300,123,0.17,49.172,Sana'a,صنعاء,23
2017-12-31,Dhamar,97741,160,0.16,48.573,Dhamar,ذمار,20
2017-12-31,Al Hudaydah,149041,277,0.19,46.026,Al Hudaydah,الحديدة,18
2017-12-31,Al Bayda,27990,33,0.12,36.859,Al Bayda,البيضاء,14
