Attack Rate (per 1000),CFR (%),Cases,Date,Deaths,Governorate
89.58200000000001,0.17,103965,2018-02-18,176,Amran
89.45200000000001,0.17,103814,2018-02-11,176,Amran
89.229,0.17,103556,2018-02-04,176,Amran
88.99600000000001,0.17,103285,2018-01-28,176,Amran
88.679,0.0,102917,2018-01-21,175,Amran
88.088,0.17,102231,2018-01-14,175,Amran
87.71,0.17,101793,2018-01-07,174,Amran
87.01100000000001,0.17,100981,2017-12-31,174,Amran
86.12200000000001,0.24,62887,2018-02-18,151,Al Mahwit
85.73700000000001,0.24,62606,2018-02-11,151,Al Mahwit
85.28399999999999,0.24,62275,2018-02-04,151,Al Mahwit
84.83200000000001,0.18,98452,2017-12-17,174,Amran
84.807,0.0,61927,2018-01-28,151,Al Mahwit
84.31,0.24,61564,2018-01-21,149,Al Mahwit
83.671,0.24,61097,2018-01-14,149,Al Mahwit
83.271,0.25,60805,2018-01-07,149,Al Mahwit
82.459,0.25,60212,2017-12-31,149,Al Mahwit
81.49600000000001,0.18,94581,2017-11-26,174,Amran
80.563,0.25,58828,2017-12-17,149,Al Mahwit
80.169,0.19,93041,2017-11-19,174,Amran
77.315,0.19,89729,2017-11-08,170,Amran
77.303,0.26,56447,2017-11-26,148,Al Mahwit
77.041,0.19,89411,2017-11-07,170,Amran
76.827,0.19,89162,2017-11-06,170,Amran
76.555,0.19,88847,2017-11-05,170,Amran
76.199,0.19,88434,2017-11-04,170,Amran
76.075,0.27,55551,2017-11-19,148,Al Mahwit
75.95100000000001,0.19,88146,2017-11-03,170,Amran
74.617,0.2,86598,2017-10-30,170,Amran
74.36399999999999,0.2,86304,2017-10-29,170,Amran
74.093,0.2,85989,2017-10-28,170,Amran
73.44800000000001,0.2,85241,2017-10-25,170,Amran
72.732,0.2,84410,2017-10-22,170,Amran
72.472,0.27,52920,2017-11-08,145,Al Mahwit
72.431,0.2,84061,2017-10-21,169,Amran
72.277,0.27,52777,2017-11-06,145,Al Mahwit
72.277,0.27,52777,2017-11-07,145,Al Mahwit
72.044,0.28,52607,2017-11-05,145,Al Mahwit
71.781,0.28,52415,2017-11-04,145,Al Mahwit
71.46,0.28,52181,2017-11-03,145,Al Mahwit
71.242,0.2,82681,2017-10-17,169,Amran
70.91199999999999,0.21,82297,2017-10-16,169,Amran
70.5,0.28,51480,2017-10-30,143,Al Mahwit
70.285,0.21,81570,2017-10-14,169,Amran
70.072,0.28,51167,2017-10-29,143,Al Mahwit
69.779,0.28,50953,2017-10-28,143,Al Mahwit
69.46600000000001,0.21,80619,2017-10-11,169,Amran
68.90100000000001,0.21,79964,2017-10-10,169,Amran
68.9,0.21,79962,2017-10-09,169,Amran
68.735,0.28,50191,2017-10-25,143,Al Mahwit
68.232,0.21,79187,2017-10-08,169,Amran
67.941,0.29,49611,2017-10-22,142,Al Mahwit
67.679,0.29,49420,2017-10-21,142,Al Mahwit
67.64,0.22,78500,2017-10-05,169,Amran
67.29,0.22,78094,2017-10-04,169,Amran
66.938,0.22,77685,2017-10-03,168,Amran
66.441,0.29,48516,2017-10-17,142,Al Mahwit
66.288,0.22,76931,2017-10-02,167,Amran
66.288,0.22,76931,2017-10-01,167,Amran
66.059,0.29,48237,2017-10-16,142,Al Mahwit
65.852,0.22,76425,2017-09-30,167,Amran
65.702,0.3,47976,2017-10-14,142,Al Mahwit
65.10300000000001,0.22,75556,2017-09-28,167,Amran
64.781,0.3,47304,2017-10-11,142,Al Mahwit
64.704,0.22,75093,2017-09-27,167,Amran
64.438,0.17,47136,2018-02-18,81,Al Dhale'e
64.436,0.17,47135,2018-02-04,81,Al Dhale'e
64.436,0.17,47135,2018-02-11,81,Al Dhale'e
64.432,0.17,47132,2018-01-21,81,Al Dhale'e
64.432,0.17,47132,2018-01-14,81,Al Dhale'e
64.432,0.0,47132,2018-01-28,81,Al Dhale'e
64.42399999999999,0.17,47126,2018-01-07,81,Al Dhale'e
64.40899999999999,0.17,47115,2017-12-31,81,Al Dhale'e
64.374,0.17,47089,2017-12-17,81,Al Dhale'e
64.274,0.22,74594,2017-09-26,167,Amran
64.257,0.17,47004,2017-11-26,81,Al Dhale'e
64.152,0.17,46927,2017-11-19,81,Al Dhale'e
63.935,0.3,46686,2017-10-10,141,Al Mahwit
63.927,0.23,74191,2017-09-25,167,Amran
63.92100000000001,0.3,46676,2017-10-09,141,Al Mahwit
63.87,0.17,46721,2017-11-07,81,Al Dhale'e
63.87,0.17,46721,2017-11-08,81,Al Dhale'e
63.813,0.17,46679,2017-11-06,81,Al Dhale'e
63.751999999999995,0.17,46634,2017-11-05,80,Al Dhale'e
63.678999999999995,0.17,46581,2017-11-04,80,Al Dhale'e
63.556999999999995,0.17,46492,2017-11-03,80,Al Dhale'e
63.488,0.23,73681,2017-09-24,167,Amran
63.326,0.17,46323,2017-10-30,80,Al Dhale'e
63.256,0.31,46190,2017-10-08,141,Al Mahwit
63.176,0.17,46213,2017-10-29,80,Al Dhale'e
63.038000000000004,0.17,46112,2017-10-28,80,Al Dhale'e
62.993,0.23,73107,2017-09-23,167,Amran
62.665,0.23,72726,2017-09-22,167,Amran
62.592,0.17,45786,2017-10-25,80,Al Dhale'e
62.353,0.31,45531,2017-10-05,140,Al Mahwit
62.31,0.23,72314,2017-09-21,167,Amran
62.23,0.18,45521,2017-10-22,80,Al Dhale'e
62.229,0.18,45520,2017-10-21,80,Al Dhale'e
62.015,0.31,45284,2017-10-04,140,Al Mahwit
61.833,0.23,71761,2017-09-20,166,Amran
61.578,0.31,44965,2017-10-03,140,Al Mahwit
61.527,0.18,45007,2017-10-17,80,Al Dhale'e
61.388000000000005,0.23,71244,2017-09-19,165,Amran
61.262,0.18,44813,2017-10-16,80,Al Dhale'e
60.913999999999994,0.23,70694,2017-09-18,163,Amran
60.826,0.18,44494,2017-10-14,79,Al Dhale'e
60.82,0.32,44411,2017-10-01,140,Al Mahwit
60.82,0.32,44411,2017-10-02,140,Al Mahwit
60.523999999999994,0.23,70242,2017-09-17,162,Amran
60.394,0.32,44100,2017-09-30,140,Al Mahwit
60.2,0.18,44036,2017-10-11,79,Al Dhale'e
60.063,0.23,69707,2017-09-16,162,Amran
59.698,0.18,43669,2017-10-10,79,Al Dhale'e
59.698,0.18,43669,2017-10-09,79,Al Dhale'e
59.683,0.23,69266,2017-09-15,161,Amran
59.458,0.18,43493,2017-10-08,79,Al Dhale'e
59.457,0.32,43416,2017-09-28,140,Al Mahwit
59.138999999999996,0.32,43184,2017-09-27,140,Al Mahwit
58.761,0.33,42908,2017-09-26,140,Al Mahwit
58.726000000000006,0.24,68155,2017-09-14,161,Amran
58.723,0.24,68151,2017-09-13,161,Amran
58.698,0.18,42937,2017-10-05,79,Al Dhale'e
58.396,0.33,42641,2017-09-25,140,Al Mahwit
58.376000000000005,0.19,42702,2017-10-04,79,Al Dhale'e
58.376000000000005,0.19,42702,2017-10-03,79,Al Dhale'e
58.239,0.24,67590,2017-09-12,161,Amran
58.034,0.33,42377,2017-09-24,140,Al Mahwit
57.816,0.24,67099,2017-09-11,161,Amran
57.601000000000006,0.33,42061,2017-09-23,140,Al Mahwit
57.31,0.24,66512,2017-09-10,161,Amran
57.163999999999994,0.19,41815,2017-10-01,79,Al Dhale'e
57.163999999999994,0.19,41815,2017-10-02,79,Al Dhale'e
57.163999999999994,0.19,41815,2017-09-30,79,Al Dhale'e
57.013999999999996,0.34,41632,2017-09-22,140,Al Mahwit
56.885,0.24,66018,2017-09-09,161,Amran
56.717,0.34,41415,2017-09-21,140,Al Mahwit
56.647,0.19,41437,2017-09-28,79,Al Dhale'e
56.446999999999996,0.25,65510,2017-09-08,161,Amran
56.402,0.34,41185,2017-09-20,140,Al Mahwit
56.4,0.34,41184,2017-09-19,140,Al Mahwit
56.298,0.19,41182,2017-09-27,79,Al Dhale'e
56.119,0.19,41051,2017-09-26,79,Al Dhale'e
56.083,0.34,40952,2017-09-18,140,Al Mahwit
55.838,0.25,64803,2017-09-07,161,Amran
55.808,0.19,40823,2017-09-25,79,Al Dhale'e
55.653,0.34,40638,2017-09-17,140,Al Mahwit
55.455,0.19,40565,2017-09-24,79,Al Dhale'e
55.452,0.19,40563,2017-09-23,79,Al Dhale'e
55.316,0.35,40392,2017-09-16,140,Al Mahwit
55.278999999999996,0.25,64154,2017-09-06,160,Amran
54.94,0.35,40118,2017-09-15,140,Al Mahwit
54.847,0.2,40120,2017-09-22,79,Al Dhale'e
54.52,0.2,39881,2017-09-21,79,Al Dhale'e
54.50899999999999,0.35,39803,2017-09-14,140,Al Mahwit
54.504,0.25,63255,2017-09-05,160,Amran
54.254,0.35,39617,2017-09-13,140,Al Mahwit
54.125,0.2,39592,2017-09-20,79,Al Dhale'e
54.027,0.25,62702,2017-09-04,159,Amran
53.931000000000004,0.2,39450,2017-09-19,79,Al Dhale'e
53.931000000000004,0.2,39450,2017-09-18,79,Al Dhale'e
53.82,0.35,39300,2017-09-12,138,Al Mahwit
53.681999999999995,0.2,39268,2017-09-17,79,Al Dhale'e
53.606,0.26,62213,2017-09-03,159,Amran
53.195,0.26,61736,2017-09-02,159,Amran
53.181000000000004,0.36,38833,2017-09-11,138,Al Mahwit
53.082,0.2,38829,2017-09-16,79,Al Dhale'e
53.001000000000005,0.36,38702,2017-09-10,138,Al Mahwit
52.918,0.26,61414,2017-09-01,159,Amran
52.756,0.2,38591,2017-09-15,79,Al Dhale'e
52.585,0.36,38398,2017-09-09,138,Al Mahwit
52.549,0.26,60986,2017-08-31,159,Amran
52.397,0.21,38328,2017-09-14,79,Al Dhale'e
52.226000000000006,0.36,38136,2017-09-08,138,Al Mahwit
52.191,0.26,60571,2017-08-30,159,Amran
52.06,0.35,121287,2018-02-11,422,Hajjah
52.06,0.35,121287,2018-02-18,422,Hajjah
52.059,0.35,121284,2018-02-04,422,Hajjah
52.056999999999995,0.0,121279,2018-01-28,421,Hajjah
52.04600000000001,0.0,121254,2018-01-21,421,Hajjah
51.998000000000005,0.21,38036,2017-09-12,79,Al Dhale'e
51.998000000000005,0.21,38036,2017-09-13,79,Al Dhale'e
51.858999999999995,0.16,76250,2018-02-18,123,Sana'a
51.84,0.36,37854,2017-09-07,138,Al Mahwit
51.728,0.26,60033,2017-08-29,158,Amran
51.591,0.16,75856,2018-02-11,123,Sana'a
51.515,0.36,37617,2017-09-06,137,Al Mahwit
51.37,0.16,75531,2018-02-04,123,Sana'a
51.321000000000005,0.26,59561,2017-08-28,157,Amran
51.292,0.16,103214,2018-02-18,161,Dhamar
51.262,0.21,37498,2017-09-11,79,Al Dhale'e
51.129,0.0,75177,2018-01-28,123,Sana'a
51.095,0.37,37310,2017-09-05,137,Al Mahwit
51.074,0.16,102774,2018-02-11,161,Dhamar
50.863,0.21,37206,2017-09-10,79,Al Dhale'e
50.858999999999995,0.16,74781,2018-01-21,123,Sana'a
50.856,0.21,37201,2017-09-09,79,Al Dhale'e
50.85,0.35,118468,2018-01-14,420,Hajjah
50.838,0.27,59000,2017-08-27,157,Amran
50.781000000000006,0.16,102185,2018-02-04,161,Dhamar
50.605,0.37,36952,2017-09-04,136,Al Mahwit
50.497,0.36,117646,2018-01-07,420,Hajjah
50.458,0.0,101535,2018-01-28,161,Dhamar
50.398,0.17,74103,2018-01-14,123,Sana'a
